coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.vermelho-vermelho,2,00:00:00,3,0.01,1171.46,00:03:43,0,0:01:17,"vespa ficou praticamente parda, desconsiderar tempo de invisibilidade (00:01:06)"
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.vermelho-vermelho,4,00:00:00,13,0.03,486.53,00:03:58,0,0:01:02,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.amarelo-azul,1,00:00:07,57,0.14,2277.65,00:02:55,4,0:02:05,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.amarelo-azul,2,00:00:08,74,0.19,2524.89,00:01:32,4,0:03:28,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.amarelo-azul,3,00:00:19,44,0.11,1336.37,00:02:55,3,0:02:05,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.amarelo-azul,4,00:00:06,49,0.19,4671.18,00:00:48,4,0:04:12,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.amarelo-roxo,2,00:00:08,74,0.19,2516.08,00:01:27,4,0:03:33,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.amarelo-roxo,3,00:00:04,65,0.16,3455.07,00:00:30,5,0:04:30,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.branco-rosa,1,00:00:13,92,0.05,3151.96,00:01:31,6,0:03:29,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.branco-rosa,2,00:00:47,62,0.15,3094.47,00:01:15,4,0:03:45,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.branco-rosa,3,00:00:33,88,0.21,5526.26,00:01:05,5,0:03:55,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.branco-rosa,4,00:00:12,54,0.14,3346.47,00:01:07,3,0:03:53,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.roxo-branco,1,00:00:38,138,0.30,6184.48,00:00:04,7,0:04:56,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,rico,rur.pent.09.roxo-branco,2,00:00:01,64,0.13,3325.93,00:01:56,3,0:03:04,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.roxo-branco,3,00:00:38,123,0.31,8045.12,00:00:28,7,0:04:32,
coleta_3,rur.pent.09,rural,pentecoste,antes_manejo,pobre,rur.pent.09.roxo-branco,4,00:00:20,51,0.12,2707.11,00:01:07,3,0:03:53,
coleta_3,rur.pent.10,rural,pentecoste,antes_manejo,pobre,rur.pent.10.rosa-azul,1,00:00:01,21,0.05,798.41,00:03:50,1,0:01:10,
coleta_3,rur.pent.10,rural,pentecoste,antes_manejo,pobre,rur.pent.10.rosa-azul,2,00:00:07,21,0.05,699.95,00:03:46,2,0:01:14,
coleta_3,rur.pent.10,rural,pentecoste,antes_manejo,pobre,rur.pent.10.rosa-rosa,1,00:00:04,17,0.04,506.96,00:04:16,1,0:00:44,
